Generation	q(HbS)	p(HbA)	HbA_HbA(p^2)	HbA_HbS(2pq)	HbS_HbS(q^2)
1	0.060000	0.940000	0.883600	0.112800	0.003600
2	0.057626	0.942374	0.888069	0.108610	0.003321
3	0.055475	0.944525	0.892128	0.104794	0.003077
4	0.053517	0.946483	0.895831	0.101305	0.002864
5	0.051728	0.948272	0.899220	0.098104	0.002676
6	0.050087	0.949913	0.902335	0.095156	0.002509
7	0.048577	0.951423	0.905207	0.092434	0.002360
8	0.047182	0.952818	0.907861	0.089912	0.002226
9	0.045892	0.954108	0.910323	0.087571	0.002106
10	0.044693	0.955307	0.912611	0.085392	0.001998
11	0.043578	0.956422	0.914742	0.083359	0.001899
12	0.042538	0.957462	0.916733	0.081458	0.001810
13	0.041566	0.958434	0.918596	0.079677	0.001728
14	0.040656	0.959344	0.920342	0.078005	0.001653
15	0.039801	0.960199	0.921982	0.076434	0.001584
16	0.038998	0.961002	0.923525	0.074954	0.001521
17	0.038241	0.961759	0.924979	0.073558	0.001462
18	0.037528	0.962472	0.926352	0.072240	0.001408
19	0.036855	0.963145	0.927649	0.070993	0.001358
20	0.036217	0.963783	0.928877	0.069811	0.001312
21	0.035614	0.964386	0.930040	0.068691	0.001268
22	0.035042	0.964958	0.931144	0.067628	0.001228
23	0.034499	0.965501	0.932192	0.066617	0.001190
24	0.033983	0.966017	0.933189	0.065656	0.001155
25	0.033492	0.966508	0.934138	0.064740	0.001122
26	0.033024	0.966976	0.935043	0.063867	0.001091
27	0.032578	0.967422	0.935905	0.063034	0.001061
28	0.032153	0.967847	0.936728	0.062238	0.001034
29	0.031747	0.968253	0.937515	0.061477	0.001008
30	0.031358	0.968642	0.938267	0.060750	0.000983
31	0.030987	0.969013	0.938986	0.060053	0.000960
32	0.030631	0.969369	0.939676	0.059386	0.000938
33	0.030291	0.969709	0.940336	0.058746	0.000918
34	0.029964	0.970036	0.940969	0.058133	0.000898
35	0.029651	0.970349	0.941577	0.057544	0.000879
36	0.029350	0.970650	0.942161	0.056978	0.000861
37	0.029062	0.970938	0.942721	0.056434	0.000845
38	0.028784	0.971216	0.943260	0.055911	0.000829
39	0.028517	0.971483	0.943779	0.055408	0.000813
40	0.028260	0.971740	0.944278	0.054923	0.000799
41	0.028013	0.971987	0.944759	0.054457	0.000785
42	0.027775	0.972225	0.945222	0.054007	0.000771
43	0.027545	0.972455	0.945668	0.053573	0.000759
44	0.027324	0.972676	0.946098	0.053155	0.000747
45	0.027111	0.972889	0.946513	0.052752	0.000735
46	0.026905	0.973095	0.946914	0.052362	0.000724
47	0.026706	0.973294	0.947301	0.051986	0.000713
48	0.026514	0.973486	0.947675	0.051622	0.000703
49	0.026329	0.973671	0.948036	0.051271	0.000693
50	0.026149	0.973851	0.948385	0.050931	0.000684
